0,0,1,i,x,2,3,
0,244,2,i,x,1,4,
244,0,3,i,x,1,4,
244,244,4,i,x,2,3,
72,46,5,e,x,6,x,
72,103,6,eoi,x,5,7,
0,103,7,i,x,6,x,
72,149,8,eoi,x,9,10,
46,149,9,e,x,8,x,
72,236,10,i,x,8,x,
118,141,11,e,oi,12,19,
118,192,12,eoi,x,11,18,
188,192,13,e,oi,14,18,
188,141,14,eoi,x,13,19,
194,95,15,e,x,16,x,
118,95,16,e,i,15,17,
118,48,17,e,x,16,20,
152,192,18,e,x,12,13,
164,141,19,e,x,11,14,
118,0,20,i,x,17,x,
